Computer,TotalMemoryGB,UsedMemoryPercentageWithSymbol,"Free_RAM",FreeMemoryGB,UsedMemoryGB,UsedMemoryPercentage
ACMDPAP137,32,"12.4%",Healthy,"28.031606141285053","3.968393858714947","12.4"
ACMDPAP54,32,"12.3%",Healthy,"28.065301756253326","3.9346982437466735","12.3"
ACMDPPR174,32,"12.08%",Healthy,"28.134470358537452","3.8655296414625475","12.08"
ACMDPPR122,32,"12.05%",Healthy,"28.1439732079489","3.8560267920511","12.05"
ACMDPPR211,32,"11.85%",Healthy,"28.207043308484206","3.792956691515794","11.85"
ACMDPAP121,98,"11.73%",Healthy,"86.5039535048802","11.4960464951198","11.73"
DMSPSAP14,32,"11.62%",Healthy,"28.280982780046156","3.7190172199538445","11.62"
PREMSPSAP123,32,"11.36%",Healthy,"28.366020592934493","3.6339794070655067","11.36"
ACMDPAP62,32,"11.33%",Healthy,"28.374322924059616","3.6256770759403842","11.33"
ACMDPAP28,32,"11.3%",Healthy,"28.385459708910187","3.6145402910898135","11.3"
ACMDPPR212,32,"11.25%",Healthy,"28.39888090166844","3.6011190983315586","11.25"
DMSPSBD121,131,"11.21%",Healthy,"116.31672709517045","14.68327290482955","11.21"
ACMDPBD167,98,"11.13%",Healthy,"87.09412987934705","10.90587012065295","11.13"
ACMDPPR140,32,"11.08%",Healthy,"28.453632410365636","3.5463675896343645","11.08"
ACMDPAP125,32,"10.86%",Healthy,"28.5233108348135","3.4766891651864995","10.86"
ACMDPPR35,32,"10.81%",Healthy,"28.539258785942494","3.4607412140575065","10.81"
PREMSPSPR123,32,"10.73%",Healthy,"28.566658441327892","3.433341558672108","10.73"
PREMSPSAP122,32,"10.72%",Healthy,"28.570005680809516","3.4299943191904845","10.72"
ACMDPPR125,32,"10.67%",Healthy,"28.58638498402556","3.4136150159744396","10.67"
PREMSPSAP121,32,"10.67%",Healthy,"28.5870671045624","3.4129328954375993","10.67"
ACMDPPR139,32,"10.64%",Healthy,"28.596044728434507","3.4039552715654935","10.64"
ACMDPPR157,32,"10.62%",Healthy,"28.601072582076306","3.3989274179236943","10.62"
ACMDPAP61,32,"10.59%",Healthy,"28.61035439219166","3.3896456078083403","10.59"
PREMSPSPR124,32,"10.42%",Healthy,"28.66649210012427","3.3335078998757304","10.42"
ACMDPAP138,32,"10.38%",Healthy,"28.677716187433443","3.322283812566557","10.38"
PREMSPSAP61,32,"10.26%",Healthy,"28.717156605113637","3.2828433948863633","10.26"
PREMSPSAP62,32,"10.18%",Healthy,"28.74133410260962","3.2586658973903795","10.18"
PREMSPSBD232,131,"10.17%",Healthy,"117.67696165453577","13.323038345464226","10.17"
ACMDPPR92,98,"10.09%",Healthy,"88.11650070997516","9.883499290024844","10.09"
PREMSPSBD63,65,"10.01%",Healthy,"58.49108771306818","6.5089122869318174","10.01"
PREMSPSAP124,32,"9.97%",Healthy,"28.809982605608802","3.190017394391198","9.97"
ACMDPAP157,32,"9.96%",Healthy,"28.813613487133985","3.186386512866015","9.96"
PREMSPSAP65,32,"9.95%",Healthy,"28.81500621338541","3.1849937866145908","9.95"
DMSPSBD111,131,"9.87%",Healthy,"118.07548881392046","12.924511186079542","9.87"
PREMSPSPR65,32,"9.86%",Healthy,"28.846262158324457","3.153737841675543","9.86"
ACMDPBD47,98,"9.84%",Healthy,"88.36059190915543","9.639408090844569","9.84"
PREMSPSPR62,32,"9.8%",Healthy,"28.863680631990057","3.136319368009943","9.8"
PREMSPSAP131,32,"9.75%",Healthy,"28.880086809870406","3.1199131901295942","9.75"
PREMSPSAP13,32,"9.71%",Healthy,"28.893997159090908","3.106002840909092","9.71"
ACMDPPR09,32,"9.61%",Healthy,"28.92538030168589","3.074619698314109","9.61"
PREMSPSBD231,65,"9.53%",Healthy,"58.805825284090915","6.194174715909085","9.53"
ACMDPPR63,32,"9.36%",Healthy,"29.004896343627973","2.9951036563720272","9.36"
PREMSPSAP11,32,"9.17%",Healthy,"29.065755547665542","2.9342444523344575","9.17"
ACMDPAP66,32,"9.07%",Healthy,"29.09911679091232","2.900883209087681","9.07"
ACMDPPR66,32,"8.93%",Healthy,"29.14218391620806","2.8578160837919384","8.93"
ACMDPBD220,98,"8.93%",Healthy,"89.24917444543034","8.750825554569658","8.93"
ACMDPAP122,98,"8.87%",Healthy,"89.3089620230701","8.691037976929906","8.87"
ACMDPBD223,98,"8.82%",Healthy,"89.36111233362911","8.638887666370891","8.82"
ACMDPPR54,32,"8.75%",Healthy,"29.200733581824636","2.799266418175364","8.75"
PREMSPSBD81,131,"8.71%",Healthy,"119.58727130681818","11.412728693181819","8.71"
ACMDPAP92,32,"8.66%",Healthy,"29.23021188997338","2.769788110026621","8.66"
PREMSPSPR55,32,"8.54%",Healthy,"29.265923691215615","2.7340763087843847","8.54"
ACMDPPR127,32,"8.43%",Healthy,"29.301213525026625","2.6987864749733745","8.43"
ACMDPAP127,32,"8.29%",Healthy,"29.346777087033747","2.6532229129662532","8.29"
ACMDPBD226,98,"8.05%",Healthy,"90.11568873114463","7.88431126885537","8.05"
ACMDPPR29,98,"7.04%",Healthy,"91.10255994308075","6.897440056919251","7.04"
ACMDPAP183,98,"6.78%",Healthy,"91.35339861505682","6.646601384943182","6.78"
ACMDPAP186,98,"6.71%",Healthy,"91.42581373437217","6.57418626562783","6.71"
DMSPSBD82,131,"6.71%",Healthy,"122.21474378551137","8.785256214488626","6.71"
ACMDPAP30,98,"6.7%",Healthy,"91.43116184560782","6.568838154392182","6.7"
ACMDPBD72,98,"6.45%",Healthy,"91.68251339840283","6.317486601597167","6.45"
PREMSPSBD40,131,"6.34%",Healthy,"122.69810793538079","8.30189206461921","6.34"
ACMDPBD73,98,"6.26%",Healthy,"91.86340131345403","6.136598686545966","6.26"
ACMDPBD54,98,"5.98%",Healthy,"92.13608981185658","5.8639101881434215","5.98"
ACMDPPR223,98,"5.51%",Healthy,"92.5968425630103","5.4031574369897015","5.51"
ACMDPPR53,98,"5.35%",Healthy,"92.7597412140575","5.240258785942501","5.35"
ACMDPPR224,98,"5.27%",Healthy,"92.83911002661934","5.160889973380662","5.27"
ACMDPPR222,98,"5.02%",Healthy,"93.08432002129925","4.9156799787007515","5.02"
ACMDPPR216,98,"4.85%",Healthy,"93.24998597799078","4.750014022009225","4.85"
ACMDPPR217,98,"4.69%",Healthy,"93.40384984025559","4.596150159744411","4.69"
PREMSPSAP40,131,"4.37%",Healthy,"125.27670086987395","5.723299130126051","4.37"
ACMDPAP68,98,"4.3%",Healthy,"93.7854395740905","4.214560425909497","4.3"
ACMDPPR72,98,"4.25%",Healthy,"93.83100798863838","4.168992011361624","4.25"
PREMSPSPR66,131,"4.1%",Healthy,"125.62557251908397","5.374427480916026","4.1"
ACMDPAP72,98,"3.91%",Healthy,"94.17274689385872","3.827253106141285","3.91"
