Computer,Disk,DiskMBPerSecondAverage
ACMDPBD95,"C:","1170.48"
ACMDPBD95,"D:","9.23"
ACMDPBD95,"E:","7.99"
ACMDPBD95,"F:",0
ACMDPBD96,"C:","144.86"
ACMDPBD96,"F:","41.68"
ACMDPBD96,"E:","28.15"
ACMDPBD96,"H:","24.45"
ACMDPBD96,"D:","1.77"
ACMDPBD96,"G:",0
ACMDPPR09,"C:","131.41"
ACMDPPR09,"D:",0
ACMDPPR101,"C:","584.04"
ACMDPPR101,"D:","67.22"
ACMDPPR101,"P:","4.03"
ACMDPPR102,"C:","21673.79"
ACMDPPR102,"P:","4664.4"
ACMDPPR102,"D:","175.73"
ACMDPPR111,"C:","146.48"
ACMDPPR111,"D:","3.91"
ACMDPPR121,"C:","241.99"
ACMDPPR121,"D:","105.46"
ACMDPPR122,"C:","156.25"
ACMDPPR122,"D:","2.94"
ACMDPPR123,"C:","187.75"
ACMDPPR123,"D:","17.68"
ACMDPPR124,"C:","163.07"
ACMDPPR124,"D:","0.21"
ACMDPPR125,"C:","160.38"
ACMDPPR125,"D:","0.04"
ACMDPPR126,"C:","193.53"
ACMDPPR126,"D:","0.29"
ACMDPPR127,"C:","82.82"
ACMDPPR127,"E:",0
ACMDPPR127,"D:",0
ACMDPPR131,"C:","209.21"
ACMDPPR131,"D:","0.03"
ACMDPPR131,"P:",0
ACMDPPR132,"C:","195.96"
ACMDPPR132,"D:","0.02"
ACMDPPR132,"P:",0
ACMDPPR138,"C:","146.55"
ACMDPPR138,"D:","2.99"
ACMDPPR139,"C:","141.24"
ACMDPPR139,"D:","2.94"
ACMDPPR14,"C:","142.49"
ACMDPPR14,"D:","0.09"
ACMDPPR140,"C:","142.63"
ACMDPPR140,"D:","2.95"
ACMDPPR141,"C:","966.7"
ACMDPPR141,"D:","55.36"
ACMDPPR15,"C:","163.72"
ACMDPPR15,"E:","88.31"
ACMDPPR15,"D:","9.35"
ACMDPPR156,"C:","289.13"
ACMDPPR156,"D:","0.1"
ACMDPPR157,"C:","126.14"
ACMDPPR157,"D:",0
ACMDPPR173,"C:","188.31"
ACMDPPR173,"D:",0
ACMDPPR174,"C:","148.88"
ACMDPPR174,"D:","1.38"
ACMDPPR18,"C:","193.55"
ACMDPPR18,"D:","11.99"
ACMDPPR182,"C:","252.46"
ACMDPPR182,"D:","0.02"
ACMDPPR183,"C:","246.85"
ACMDPPR183,"D:","14.55"
ACMDPPR191,"C:","168.46"
ACMDPPR191,"D:","7.75"
ACMDPPR191,"P:",0
ACMDPPR211,"C:","139.05"
ACMDPPR211,"D:",0
ACMDPPR212,"C:","129.83"
ACMDPPR212,"D:",0
ACMDPPR216,"C:","122.45"
ACMDPPR216,"D:",0
ACMDPPR217,"C:","126.66"
ACMDPPR217,"D:",0
ACMDPPR222,"C:","129.41"
ACMDPPR222,"D:","0.96"
ACMDPPR223,"C:","144.62"
ACMDPPR223,"D:","0.66"
ACMDPPR224,"C:","129.43"
ACMDPPR224,"D:","0.49"
ACMDPPR29,"C:","154.81"
ACMDPPR29,"F:","7.87"
ACMDPPR29,"G:",0
ACMDPPR29,"H:",0
ACMDPPR29,"P:",0
ACMDPPR29,"E:",0
ACMDPPR30,"F:","164.24"
ACMDPPR30,"C:","145.99"
ACMDPPR30,"E:",0
ACMDPPR30,"H:",0
ACMDPPR30,"G:",0
ACMDPPR30,"P:",0
ACMDPPR35,"C:","130.45"
ACMDPPR35,"D:","1.34"
ACMDPPR42,"C:","289.47"
ACMDPPR42,"D:","3.76"
ACMDPPR53,"C:","142.9"
ACMDPPR53,"D:","0.03"
ACMDPPR54,"C:","116.49"
ACMDPPR54,"D:",0
ACMDPPR57,"C:","164.73"
ACMDPPR57,"E:","2.75"
ACMDPPR57,"D:",0
ACMDPPR63,"C:","105.65"
ACMDPPR63,"D:","0.03"
ACMDPPR63,"E:",0
ACMDPPR66,"C:","101.3"
ACMDPPR66,"D:","0.16"
ACMDPPR66,"E:",0
ACMDPPR72,"C:","87.13"
ACMDPPR72,"F:",0
ACMDPPR72,"D:",0
ACMDPPR72,"E:",0
ACMDPPR76,"I:","7604.02"
ACMDPPR76,"J:","1384.44"
ACMDPPR76,"C:","254.21"
ACMDPPR76,"H:","2.9"
ACMDPPR76,"E:",0
ACMDPPR76,"F:",0
ACMDPPR76,"K:",0
ACMDPPR76,"D:",0
ACMDPPR80,"E:","13677.94"
ACMDPPR80,"C:","560.65"
