Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD141,"C:","66.54%",Warning,"66.54"
ACMDPBD141,"D:","64.06%",Warning,"64.06"
ACMDPBD141,"F:","39.02%",Healthy,"39.02"
ACMDPBD141,"J:","20.63%",Healthy,"20.63"
ACMDPBD141,"E:","6.65%",Healthy,"6.65"
ACMDPBD142,"I:","93.55%",Critical,"93.55"
ACMDPBD142,"D:","47.64%",Healthy,"47.64"
ACMDPBD142,"F:","44.02%",Healthy,"44.02"
ACMDPBD142,"C:","43.1%",Healthy,"43.1"
ACMDPBD142,"H:","26.1%",Healthy,"26.1"
ACMDPBD142,"J:","19.75%",Healthy,"19.75"
ACMDPBD142,"E:","6.65%",Healthy,"6.65"
ACMDPBD145,"L:","87.04%",Warning,"87.04"
ACMDPBD145,"D:","76.75%",Warning,"76.75"
ACMDPBD145,"C:","40.86%",Healthy,"40.86"
ACMDPBD145,"J:","38.63%",Healthy,"38.63"
ACMDPBD145,"M:","33.85%",Healthy,"33.85"
ACMDPBD145,"I:","31.06%",Healthy,"31.06"
ACMDPBD145,"E:","22.91%",Healthy,"22.91"
ACMDPBD145,"K:","8.07%",Healthy,"8.07"
ACMDPBD145,"H:","3.75%",Healthy,"3.75"
ACMDPBD145,"F:","0.0%",Healthy,0
ACMDPBD151,"F:","93.52%",Critical,"93.52"
ACMDPBD151,"I:","89.55%",Warning,"89.55"
ACMDPBD151,"D:","79.4%",Warning,"79.4"
ACMDPBD151,"H:","69.74%",Warning,"69.74"
ACMDPBD151,"C:","52.45%",Healthy,"52.45"
ACMDPBD151,"E:","30.44%",Healthy,"30.44"
ACMDPBD152,"G:","99.71%",Critical,"99.71"
ACMDPBD152,"I:","98.07%",Critical,"98.07"
ACMDPBD152,"F:","93.55%",Critical,"93.55"
ACMDPBD152,"H:","85.61%",Warning,"85.61"
ACMDPBD152,"D:","78.69%",Warning,"78.69"
ACMDPBD152,"C:","64.71%",Warning,"64.71"
ACMDPBD152,"E:","30.28%",Healthy,"30.28"
ACMDPBD157,"E:","85.32%",Warning,"85.32"
ACMDPBD157,"F:","85.31%",Warning,"85.31"
ACMDPBD157,"C:","69.2%",Warning,"69.2"
ACMDPBD157,"D:","67.49%",Warning,"67.49"
ACMDPBD158,"E:","85.31%",Warning,"85.31"
ACMDPBD158,"F:","85.31%",Warning,"85.31"
ACMDPBD158,"D:","70.2%",Warning,"70.2"
ACMDPBD158,"C:","67.81%",Warning,"67.81"
ACMDPBD165,"P:","99.58%",Critical,"99.58"
ACMDPBD165,"F:","78.37%",Warning,"78.37"
ACMDPBD165,"J:","76.98%",Warning,"76.98"
ACMDPBD165,"D:","69.32%",Warning,"69.32"
ACMDPBD165,"L:","41.1%",Healthy,"41.1"
ACMDPBD165,"C:","36.12%",Healthy,"36.12"
ACMDPBD165,"M:","21.29%",Healthy,"21.29"
ACMDPBD165,"I:","20.97%",Healthy,"20.97"
ACMDPBD165,"G:","14.94%",Healthy,"14.94"
ACMDPBD165,"E:","10.43%",Healthy,"10.43"
ACMDPBD165,"H:","4.07%",Healthy,"4.07"
ACMDPBD165,"K:","2.69%",Healthy,"2.69"
ACMDPBD166,"P:","99.59%",Critical,"99.59"
ACMDPBD166,"J:","98.58%",Critical,"98.58"
ACMDPBD166,"F:","95.62%",Critical,"95.62"
ACMDPBD166,"H:","74.17%",Warning,"74.17"
ACMDPBD166,"E:","73.54%",Warning,"73.54"
ACMDPBD166,"D:","68.08%",Warning,"68.08"
ACMDPBD166,"C:","65.37%",Warning,"65.37"
ACMDPBD166,"I:","11.62%",Healthy,"11.62"
ACMDPBD167,"I:","99.85%",Critical,"99.85"
ACMDPBD167,"D:","73.84%",Warning,"73.84"
ACMDPBD167,"H:","71.35%",Warning,"71.35"
ACMDPBD167,"J:","57.25%",Healthy,"57.25"
ACMDPBD167,"L:","55.85%",Healthy,"55.85"
ACMDPBD167,"C:","55.51%",Healthy,"55.51"
ACMDPBD167,"K:","54.73%",Healthy,"54.73"
ACMDPBD167,"P:","46.48%",Healthy,"46.48"
ACMDPBD167,"F:","19.03%",Healthy,"19.03"
ACMDPBD167,"E:","12.49%",Healthy,"12.49"
ACMDPBD17,"E:","99.76%",Critical,"99.76"
ACMDPBD17,"F:","73.93%",Warning,"73.93"
ACMDPBD17,"D:","70.02%",Warning,"70.02"
ACMDPBD17,"C:","60.63%",Warning,"60.63"
ACMDPBD175,"P:","99.59%",Critical,"99.59"
ACMDPBD175,"O:","95.34%",Critical,"95.34"
ACMDPBD175,"F:","80.35%",Warning,"80.35"
ACMDPBD175,"D:","71.41%",Warning,"71.41"
ACMDPBD175,"E:","70.63%",Warning,"70.63"
ACMDPBD175,"C:","57.42%",Healthy,"57.42"
ACMDPBD176,"P:","99.59%",Critical,"99.59"
ACMDPBD176,"O:","95.34%",Critical,"95.34"
ACMDPBD176,"D:","89.43%",Warning,"89.43"
ACMDPBD176,"F:","80.35%",Warning,"80.35"
ACMDPBD176,"E:","75.67%",Warning,"75.67"
ACMDPBD176,"C:","24.84%",Healthy,"24.84"
ACMDPBD177,"O:","95.34%",Critical,"95.34"
ACMDPBD177,"P:","92.9%",Critical,"92.9"
ACMDPBD177,"D:","92.06%",Critical,"92.06"
